Team Name,Team BPONGID #,Player 1 Firstname,Player 1 Lastname,Player 1 Username,Player 1 Email,Player 2 Firstname,Player 2 Lastname,Player 2 Username,Player 2 Email,Player 3 Firstname,Player 3 Lastname,Player 3 Username,Player 3 Email
Team Ramrod,5421,John ,Reilly,jrod432,,,,,,,,,
Team America,,,,,tab@whereever.com,,,,,,,,
Passing (Gas) Time,1309,,,,,,,,,,,,
My Couch Pulls Out,,Jason,Alexander,,jason@alexander.com,Ben,Affleck,isuckbigtime,Ben@affleck.com,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
"1) The first row is always ignored, since it should contain titles",,,,,,,,,,,,,
"2) If a Team exists on BPONG.COM, make sure to put the BPONG ID number in the second column. If that column is blank, the system assumes it’s a new team",,,,,,,,,,,,,
"3) If a row does not contain a Team Name, it is ignored",,,,,,,,,,,,,
4) A team can have any number of players (though it normall has two),,,,,,,,,,,,,
5) Either a username or an email must be provided for each player.,,,,,,,,,,,,,
"6) An email must be provided unless the player already exists in the system. If this is the case, you must provide the matching username",,,,,,,,,,,,,
